iter	MAPE	RMSE	R2	MAE
35	0.01099358842	0.2046488774	0.9621853835	0.1447632578
36	0.01091339296	0.2030937864	0.9627578933	0.1436991462
37	0.01084156692	0.2015657273	0.9633161975	0.1427506017
38	0.0107588973	0.2003476881	0.9637582102	0.1416162785
39	0.01068680707	0.1990640519	0.9642211278	0.1406558337
40	0.0106363812	0.1975451199	0.9647650566	0.1400371345
41	0.01058855133	0.196585964	0.9651063838	0.1393932291
42	0.01051904461	0.195272771	0.965571005	0.1384844483
43	0.0104873051	0.1944743012	0.9658519895	0.1380954966
44	0.01044857245	0.1936173421	0.9661522757	0.1376037609
45	0.01040320609	0.1925845067	0.9665124282	0.1370093584
46	0.01037756751	0.1921248094	0.9666721064	0.1366497806
47	0.01034001586	0.1914286746	0.9669131859	0.1360908606
48	0.01025963817	0.1904012858	0.9672673836	0.1349990941
49	0.01022409275	0.1895023706	0.967575726	0.1345264496
50	0.01013607027	0.1882726597	0.9679951731	0.1333987056
51	0.01007766868	0.1874114794	0.9682872908	0.132637778
52	0.01004348688	0.1865517936	0.9685775658	0.1322235946
53	0.009973256881	0.1854903383	0.9689341276	0.1311946759
54	0.009932210268	0.1847808164	0.9691713342	0.1306529914
55	0.009905856934	0.1841012838	0.9693976625	0.1303252672
56	0.009860381705	0.1833723405	0.9696395207	0.1297458531
57	0.009837356204	0.1827693056	0.9698388782	0.1294654985
58	0.009787852674	0.1820781622	0.9700665559	0.1288097754
59	0.009772693315	0.1817525544	0.9701735193	0.1286144229
60	0.009753354775	0.1813702048	0.9702988781	0.1283576249
61	0.009721034451	0.1806807544	0.9705242573	0.1278930615
62	0.009704480287	0.1801577148	0.9706946646	0.1276884848
63	0.009659941764	0.1791719491	0.9710144862	0.1271091798
64	0.009628064185	0.1786544871	0.9711816691	0.126667849
65	0.009602401821	0.1779691515	0.9714023447	0.1263454508
66	0.009541114423	0.177005602	0.9717111697	0.1255354618
67	0.009513578115	0.1765101834	0.9718693026	0.1251731447
68	0.009482345717	0.1759272628	0.9720547977	0.1247317727
69	0.009458371871	0.1753710877	0.9722312099	0.124433307
70	0.009420105756	0.174933749	0.9723695362	0.1239067704
71	0.009398809826	0.1743343988	0.9725585444	0.1236537287
72	0.009363149797	0.1738588266	0.972708057	0.1231515185
73	0.009339524356	0.1733761216	0.9728593944	0.1228285061
74	0.009309002993	0.1726100921	0.9730986958	0.1224638447
75	0.009295346146	0.172390118	0.9731672181	0.1222765758
76	0.009273580312	0.1718335824	0.9733401896	0.1220108996
77	0.009243259952	0.1712106006	0.9735331493	0.1216138983
78	0.009226729946	0.1707323289	0.9736808114	0.1214188274
79	0.009203424603	0.1703197811	0.9738078501	0.1210943859
80	0.0091789217	0.169716174	0.9739931692	0.1208009492
81	0.009167017541	0.1694983692	0.9740598779	0.1206309838
82	0.009145546316	0.1690735655	0.9741897394	0.1203659331
83	0.009127728949	0.1686667814	0.9743137869	0.1201401381
84	0.009094584975	0.1680963919	0.974487222	0.1196939578
85	0.009083607186	0.1679111117	0.9745434327	0.1195249647
86	0.009056002662	0.1673660471	0.9747084361	0.1191642682
87	0.009037166387	0.1669638468	0.9748298472	0.1189168274
88	0.009013506924	0.1664144143	0.9749952309	0.1186273445
89	0.008993671093	0.1660838731	0.9750944639	0.1183525964
90	0.0089683378	0.165562149	0.9752506911	0.1180051783
91	0.008956113333	0.1652745937	0.9753365877	0.1178567186
92	0.008929570794	0.1648648908	0.9754587135	0.1175099818
93	0.008908501879	0.1644563161	0.9755802012	0.1172192209
94	0.008887996333	0.1639521906	0.9757296849	0.1169667811
95	0.008863836797	0.16341872	0.9758873704	0.1166715417
96	0.008851562201	0.1631211253	0.9759751113	0.1165210196
97	0.008840643677	0.1629233679	0.9760333284	0.1163784274
98	0.008818583139	0.1625255724	0.9761502201	0.1160916282
99	0.008801954224	0.1621242607	0.9762678555	0.1158551486
100	0.008768896681	0.1616628648	0.9764027438	0.1153868738
101	0.00874937917	0.1613473766	0.9764947549	0.1150903303
102	0.008725479463	0.1607588367	0.9766659203	0.1147965462
103	0.008703676164	0.1602781519	0.9768052541	0.1145309756
104	0.008681875305	0.1598796066	0.9769204621	0.1142259191
105	0.008667543758	0.1595581141	0.9770131874	0.1140172167
106	0.008651203318	0.1591651834	0.9771262635	0.1138199188
107	0.008637836185	0.1588476494	0.9772174385	0.1136536299
108	0.008627567972	0.1586518424	0.9772735707	0.1135278225
109	0.00860731618	0.1581863683	0.9774067308	0.1132826814
110	0.008602014385	0.1580749115	0.9774385576	0.1132103166
111	0.008587086766	0.1577683798	0.977525973	0.1129886299
112	0.008563707466	0.1573074385	0.9776571029	0.112688273
113	0.008551048415	0.1569849758	0.9777486099	0.1125335258
114	0.008542721741	0.1567983956	0.977801471	0.1124134985
115	0.008531062844	0.1564899689	0.9778887153	0.112242664
116	0.008518893957	0.1562008286	0.9779703482	0.1120988725
117	0.008505236926	0.1558376913	0.9780726586	0.1119292484
118	0.008493501538	0.1555439699	0.9781552376	0.1117797779
119	0.008464958101	0.1550503005	0.9782936805	0.1114017971
120	0.008440472916	0.1547126217	0.9783881244	0.1110666133
121	0.008424463741	0.1543102315	0.9785003984	0.1108650724
122	0.00841559469	0.1540950275	0.9785603241	0.1107565069
123	0.008388369822	0.1537217794	0.9786640604	0.1103620246
124	0.008383624913	0.1536219693	0.9786917579	0.1103046901
125	0.008353993161	0.15319373	0.9788103908	0.109915087
126	0.008331704155	0.1527901611	0.9789218862	0.1096306923
127	0.008310592411	0.1523274362	0.979049363	0.1093752846
128	0.008299513194	0.1521166432	0.9791073065	0.1092412508
129	0.008293563733	0.1519746224	0.9791463004	0.1091621488
130	0.008281096873	0.1517166228	0.9792170448	0.1089996214
131	0.008276356357	0.1515991834	0.9792492074	0.108940935
132	0.008267941973	0.1514129859	0.9793001492	0.1088177649
133	0.008253350684	0.1510930875	0.9793875242	0.1086377239
134	0.008239990609	0.1508245509	0.9794607279	0.1084711825
135	0.00822396588	0.1505594438	0.979532869	0.10822014
136	0.008212581168	0.1502941141	0.9796049435	0.108072765
137	0.008202736163	0.1500966624	0.9796584971	0.1079545035
138	0.00819429829	0.1499282325	0.9797041236	0.1078490948
139	0.008178849971	0.1496332879	0.9797838987	0.1076331593
140	0.008170780823	0.1494593237	0.979830878	0.1075218063
141	0.008152709052	0.1491493889	0.979914441	0.1072875698
142	0.008142682625	0.1489424996	0.9799701248	0.1071657458
143	0.008121706389	0.1484763324	0.9800953095	0.1069048236
144	0.008104437778	0.1480863342	0.9801997382	0.1066959782
145	0.00808505663	0.1476658753	0.9803120157	0.1064520358
146	0.008081372383	0.1475859297	0.9803333279	0.1064058418
147	0.008067047329	0.1473364987	0.9803997479	0.1062030299
148	0.008052625707	0.1470762731	0.9804689227	0.1060175825
149	0.008040809829	0.1468443846	0.9805304617	0.1058540386
150	0.008028872684	0.1466648526	0.9805780395	0.105688704
151	0.008018296081	0.1464447302	0.9806362947	0.1055292198
152	0.008007546823	0.1461988362	0.980701267	0.1053929601
153	0.007993725714	0.1459253544	0.9807734005	0.1052188153
154	0.007983941017	0.1456927752	0.9808346392	0.1050952325
155	0.007971336991	0.1454500531	0.9808984445	0.1049388359
156	0.007952433336	0.1450593504	0.9810009265	0.1047061186
157	0.007939147843	0.1447224161	0.9810890836	0.1045366936
158	0.007930042025	0.1445056666	0.9811456866	0.1044052611
159	0.007916826263	0.1442257634	0.9812186563	0.1042493322
160	0.007908726554	0.1440501407	0.9812643683	0.1041480905
161	0.007895081609	0.1438532353	0.9813155536	0.1039646354
162	0.007882331602	0.1435910415	0.9813836019	0.1038085921
163	0.007866044351	0.1432885171	0.9814619631	0.1035799637
164	0.007858913957	0.1431455222	0.9814989447	0.1034938639
165	0.007849074629	0.1429839066	0.9815406976	0.1033449255
166	0.007830637943	0.1425539504	0.9816515459	0.1031126163
167	0.007813316976	0.1421837401	0.9817467234	0.1028916109
168	0.007809264588	0.1421071336	0.9817663873	0.1028344613
169	0.007797627724	0.1418789119	0.981824906	0.1026875147
170	0.007781201705	0.1416271285	0.9818893571	0.102470973
171	0.00776636648	0.1413622691	0.9819570319	0.1022769056
172	0.007760989934	0.1412518168	0.9819852163	0.102208057
173	0.007753354195	0.1411147015	0.9820201738	0.102110771
174	0.007741645789	0.1408946867	0.9820761955	0.1019380089
175	0.00772822252	0.1405912852	0.9821533064	0.1017626342
176	0.00771414689	0.1403334312	0.9822187104	0.1015855751
177	0.007708439063	0.1402636368	0.9822363929	0.1015070052
178	0.007690087387	0.1399104152	0.9823257474	0.1012633314
179	0.007677322898	0.1396904782	0.982381271	0.1011011971
180	0.007665249158	0.1394295104	0.9824470397	0.1009575375
181	0.007653333054	0.1391744039	0.9825112123	0.1008117142
182	0.007641441023	0.1388779284	0.9825856437	0.100660828
183	0.00763179368	0.1387089019	0.9826280075	0.100532094
184	0.007624147201	0.1385370874	0.9826710171	0.1004382441
185	0.007615945175	0.1383168954	0.982726059	0.1003305297
186	0.007601727058	0.1380349627	0.9827964065	0.1001493801
187	0.007590569181	0.1378175832	0.9828505488	0.09999854087
188	0.007581234208	0.1376678079	0.9828878034	0.09987551277
189	0.007570307353	0.1374690873	0.9829371699	0.09973850777
190	0.007553628089	0.1372082422	0.9830018613	0.09951746864
191	0.00753961135	0.1369029777	0.983077413	0.09932754867
192	0.007534690656	0.1368116681	0.983099979	0.09925614215
193	0.007528479928	0.1366667639	0.9831357594	0.09917086586
194	0.00751809838	0.1364445402	0.9831905582	0.09904257414
195	0.007509259102	0.1362822551	0.9832305202	0.09891879486
196	0.007503839272	0.1361888992	0.9832534872	0.09884980091
197	0.007492688978	0.1359682224	0.9833077144	0.09870077112
198	0.007478409959	0.1357610777	0.9833585364	0.09850672858
199	0.007473056541	0.1356608506	0.9833830988	0.0984308342
200	0.007463358777	0.1354240961	0.9834410476	0.09831439281
201	0.007449151325	0.1351705477	0.9835029947	0.09812606185
202	0.007440601708	0.1350058795	0.9835431644	0.09802456799
203	0.007435267939	0.134928927	0.9835619196	0.09795289101
204	0.007425318365	0.1347131198	0.9836144601	0.09783304966
205	0.007418409403	0.1345817377	0.9836464053	0.09774362972
206	0.007408833968	0.1344555693	0.9836770534	0.09759892626
207	0.007398628697	0.134274743	0.9837209286	0.09745973268
208	0.00739024385	0.13409994	0.9837632863	0.09735708872
209	0.007378533224	0.1339376447	0.9838025637	0.09719951878
210	0.007368360502	0.1337323984	0.9838521676	0.09707783184
211	0.00735657873	0.1334997988	0.9839082903	0.09693013272
212	0.007349258247	0.1333318084	0.983948763	0.09683631418
213	0.007339564543	0.1331860332	0.9839838423	0.09669812192
214	0.007331507192	0.1330543651	0.9840154939	0.09659329793
215	0.0073174437	0.1327990683	0.9840767753	0.09639780826
216	0.00730197985	0.1325639262	0.9841331146	0.09619556407
217	0.007295870931	0.1324452308	0.9841615158	0.0961195276
218	0.00728406747	0.1322401658	0.9842105233	0.09594602672
219	0.007279142632	0.1321043963	0.9842429284	0.09588034064
220	0.007269332135	0.1319357997	0.9842831223	0.09575758491
221	0.007264690625	0.1318400169	0.9843059343	0.09568940017
222	0.007253810068	0.1316631276	0.9843480194	0.09555383466
223	0.007244442503	0.1314835378	0.9843906892	0.09543648441
224	0.007233932266	0.1312854795	0.9844376795	0.09530374611
225	0.007223279257	0.1310430695	0.984495096	0.09517010282
226	0.007221887549	0.1310161436	0.9845014671	0.095153222
227	0.007208413272	0.1308078318	0.9845507123	0.09497637768
228	0.007202588891	0.1306974426	0.9845767767	0.09490682079
229	0.007197978795	0.1306015805	0.9845993932	0.0948498
230	0.007190238733	0.130466391	0.9846312599	0.09473195174
231	0.007182508328	0.1303112122	0.9846677978	0.09463143555
232	0.007175011743	0.1301348912	0.9847092611	0.0945404365
233	0.007166294173	0.1299262888	0.984758243	0.09443580653
234	0.007151619583	0.129626699	0.9848284522	0.09424869866
235	0.007143350676	0.129464585	0.9848663762	0.09414141972
236	0.007130466633	0.1292010842	0.9849279168	0.09398360434
237	0.007119012568	0.1289794008	0.9849795938	0.09383993391
238	0.007109668668	0.1288516261	0.9850093393	0.09371499336
239	0.007101053767	0.1287287975	0.9850379056	0.09359958451
240	0.007094212214	0.1285967609	0.9850685829	0.09350741269
241	0.007087865255	0.1284850629	0.9850945103	0.09343154404
242	0.007074722476	0.1282600241	0.9851466778	0.09325638669
243	0.007063159835	0.1280086051	0.9852048526	0.09311529075
244	0.007055683432	0.1278426506	0.9852431895	0.09302392117
245	0.007048628266	0.1277087681	0.9852740813	0.09292803866
246	0.007040397588	0.1275023933	0.9853216364	0.09282290452
247	0.007024958219	0.1271931184	0.9853927589	0.09262850944
248	0.0070181945	0.1270547377	0.9854245257	0.092537608
249	0.007012406912	0.1269491449	0.9854487425	0.09245437472
250	0.007007395187	0.1268734159	0.9854660978	0.09237982119
251	0.006999560669	0.1267023494	0.9855052642	0.09228485829
252	0.006995037392	0.1266113958	0.9855260669	0.09222703436
253	0.006983240914	0.1264329288	0.9855668421	0.09205961102
254	0.006974476361	0.1262776533	0.9856022718	0.09193811176
255	0.006964188601	0.1260568851	0.9856525702	0.09181510297
256	0.006959115279	0.1259765137	0.9856708596	0.09173851814
257	0.006953539572	0.1258710059	0.9856948514	0.09166558738
258	0.006947272478	0.1257686604	0.985718105	0.09158089912
259	0.006943250515	0.1256803651	0.985738151	0.09152190323
260	0.006939456593	0.1255817528	0.9857605227	0.09147452764
261	0.006936101842	0.1255083917	0.9857771544	0.09142949184
262	0.006925451373	0.1252902298	0.9858265564	0.09129394677
263	0.006917838389	0.1251842367	0.9858505272	0.09119318301
264	0.006908344474	0.1249966192	0.9858929079	0.09108023011
265	0.006903235208	0.1249056612	0.9859134315	0.0910094929
266	0.006891217592	0.1247041532	0.985958846	0.09085050039
267	0.006878511464	0.1244509547	0.9860158063	0.09068377447
268	0.00687154412	0.1242970347	0.986050376	0.09059662677
269	0.006867564109	0.1242256403	0.9860663963	0.09054334668
270	0.006865328583	0.1241785633	0.9860769549	0.09051569933
271	0.006858942448	0.1240431945	0.9861072938	0.09043479983
272	0.006853815712	0.1239687033	0.9861239747	0.09036191994
273	0.006845784715	0.123801421	0.9861613978	0.09026532572
274	0.006837980316	0.1236359315	0.9861983701	0.09017097769
275	0.006834469368	0.1235543835	0.9862165707	0.09012688488
276	0.00682889441	0.1234384684	0.986242421	0.09004814713
277	0.00681568275	0.1231967883	0.9862962402	0.08987709876
278	0.006805515973	0.1229706799	0.9863464962	0.08975129578
279	0.006794156935	0.1227302711	0.9863998295	0.08960547442
280	0.006783869658	0.1225535108	0.9864389761	0.08947026698
281	0.006777205906	0.122419803	0.9864685506	0.08938427094
282	0.006774229276	0.1223696994	0.9864796245	0.08934732311
283	0.006769041058	0.1222529924	0.9865054016	0.08927134635
284	0.006758943261	0.1220745934	0.9865447572	0.08914490541
285	0.006750281264	0.1219399581	0.9865744202	0.08903581847
286	0.006746910454	0.1218674033	0.986590392	0.08899317752
287	0.006740018744	0.1217297992	0.9866206573	0.08890864151
288	0.006733024072	0.1215798939	0.9866535892	0.08881854659
289	0.006722336142	0.1214336982	0.9866856672	0.08867161693
290	0.006717715261	0.1213427079	0.9867056125	0.08861358265
291	0.006710783433	0.1211930708	0.986738381	0.08852555015
292	0.006697513041	0.12087991	0.986806828	0.08836099382
293	0.006687787791	0.1207071838	0.9868445048	0.08823428788
294	0.006685170525	0.1206508546	0.9868567802	0.08820317972
295	0.006677216449	0.1205208279	0.9868850941	0.08809527147
296	0.006672527999	0.1204365163	0.986903437	0.08803120449
297	0.006665149802	0.1203055041	0.9869319147	0.08794201351
298	0.006657251567	0.1201202011	0.9869721404	0.08784455985
299	0.006649878284	0.1200184498	0.9869942023	0.08774083323
300	0.006643407572	0.1199179423	0.9870159762	0.08766157203
301	0.006634836723	0.1197664645	0.9870487578	0.0875529191
302	0.006630255668	0.1196593436	0.987071915	0.08749478507
303	0.006622423827	0.119494155	0.9871075845	0.08740115298
304	0.006616730535	0.1193939995	0.9871291874	0.08732163771
305	0.006609143755	0.1192276844	0.9871650203	0.08723166215
306	0.006602220627	0.1190463276	0.9872040371	0.08714666929
307	0.006600751148	0.1190228993	0.9872090731	0.08712698056
308	0.006592812927	0.1188712047	0.9872416564	0.08701449394
309	0.006588794472	0.1187892415	0.9872592444	0.08696262588
310	0.006582261441	0.1186729831	0.9872841708	0.08687906668
311	0.006574862356	0.1185509841	0.9873103018	0.08677740412
312	0.006567995602	0.1184503717	0.9873318317	0.08667064644
313	0.006561511781	0.1183287871	0.9873578252	0.08658301715
314	0.00655595752	0.1182280647	0.9873793382	0.08650935067
315	0.00654814478	0.118093648	0.9874080195	0.08639843003
316	0.006542664457	0.1179754018	0.9874332233	0.08632560544
317	0.006538677166	0.1179091586	0.9874473319	0.08627533347
318	0.006532592144	0.1177918156	0.9874723042	0.0861888083
319	0.006519902527	0.1175477003	0.987524176	0.08601944937
320	0.006514911241	0.1174679916	0.9875410899	0.08595225164
321	0.006510319603	0.1173753612	0.9875607313	0.08589754964
322	0.006502980742	0.1172456018	0.9875882195	0.08580624811
323	0.006495862087	0.1171335154	0.9876119394	0.08571589025
324	0.006493356898	0.1170923972	0.9876206352	0.08567881537
325	0.006488671409	0.1170034766	0.98763943	0.08561529978
326	0.006485257902	0.116944674	0.987651851	0.08556911609
327	0.006479780512	0.1168384365	0.987674276	0.08549704901
328	0.006472442744	0.1167062397	0.987702152	0.08540711446
329	0.006464231739	0.1165608233	0.9877327793	0.08528929652
